date(dd-mm-yyy),time(hh:mm:ss),channel(1-40),intensity(%),interval(sec.)
1-1-2000,4:50:6,30,4,0
1-1-2000,4:50:6,40,4,0
1-1-2000,4:50:10,1,5,0
1-1-2000,4:50:10,11,5,0
1-1-2000,4:50:10,21,5,0
1-1-2000,4:50:10,31,5,0
1-1-2000,4:50:10,3,5,0
1-1-2000,4:50:10,13,5,0
1-1-2000,4:50:10,23,5,0
1-1-2000,4:50:10,33,5,0
1-1-2000,4:50:10,8,5,0
1-1-2000,4:50:10,18,5,0
1-1-2000,4:50:10,28,5,0
1-1-2000,4:50:10,38,5,0
1-1-2000,4:50:10,10,5,0
1-1-2000,4:50:10,20,5,0
1-1-2000,4:50:10,30,5,0
